alias	category	description	keywords
40272-1.mpd	Fantasy / Mythical	A LEGO model of a witch with a broomstick, a cauldron, and a potion.	witch, broomstick, cauldron, potion, LEGO
40273-1.mpd	City / Town	A miniature model of a small house with a garden and a fence.	house, miniature, garden, fence, model
40274-1.mpd	City / Town	A LEGO model of a Santa Claus figure in a festive setting, complete with a sleigh and gifts.	Santa Claus, festival, sleigh, gifts, LEGO
40290-1_Airport-Shuttle.mpd	Vehicles	A LEGO model of an airport shuttle, celebrating 60 years of LEGO bricks.	LEGO, Airport Shuttle, 60 Years, Bricks, Model
40290-1_Black-Seas-Barracuda.mpd	Pirates	A LEGO model of a pirate ship with red and white sails.	pirate ship, red sails, white sails, LEGO, black seas
40290-1_Brick-stand.mpd	Technic	A red brick stand model with a gray base.	brick stand, red brick, gray base, model, main model
40290-1_Castle.mpd	Castle	A miniature castle model made of yellow LEGO bricks.	LEGO, castle, miniature, LEGO model, LEGO castle
40290-1_Space.mpd	Technic	A detailed model of a space vehicle with various mechanical components and a control panel.	space vehicle, mechan model, mechan components, control panel, mechan vehicle
40335-1.mpd	Technic	A model of a rocket with a launch pad, featuring colorful details and a small figure standing nearby.	rocket, launch pad, model, colorful, figure
40348-1.mpd	Vehicles	A LEGO model of a birthday clown with various elements like balloons, a cake, and a flag.	birthday clown, LEGO, balloons, cake, flag
40349-1.mpd	Vehicles	A LEGO model of a Valentine's Puppy, featuring a heart-shaped dog and a vase with flowers.	LEGO, Valentine's Puppy, heart, dog, flowers
40350-1.mpd	Technic	A yellow and green model of a vehicle with a crane-like arm and a small green figure standing next to it.	yellow vehicle, green vehicle, crane arm, small green figure, model
40351-1.mpd	Vehicles	A Halloween Ghost model with a ghostly appearance and a spider on its side.	Halloween Ghost, model, spider, ghostly, Halloween
40352-1.mpd	Everyday Life / Interior	A LEGO Thanksgiving Scarecrow model with a hat, corn, and a basket of vegetables.	Thanksgiving, Scarecrow, Legos, Corn, Vegetables
40353-1.mpd	Technic	A LEGO model featuring a reindeer, an elf, and an elfie.	reindeer, elf, elfie, LEGO, model
40354-1.mpd	Technic	A red and black mechanical model with various components and a small figure holding a torch.	mechanical model, red and black, components, small figure, torch
40367-1.mpd	Architecture	A detailed model of Lady Liberty, a famous American statue.	Lady Liberty, statue, famous landmark, American, landmark
4037-1.mpd	Technic	A helicopter model built with LEGO pieces, featuring a green body, yellow propellers, and a black tail rotor.	helicopter, LEGO, model, technic, construction
40377-1.mpd	Animals / Characters	A LEGO model of Donald Duck, a popular animated character.	Donald Duck, LEGO, character, animation, duck
40378-1.mpd	Technic	A LEGO model featuring two characters, one with a green hat and the other with a yellow hat, standing on a platform.	LEGO, Goofy, Pluto, characters, platform
40380-1.mpd	Technic	A LEGO model of a sheep with Easter-themed decorations.	Easter Sheep, LEGO, Easter, Decorations, Sheep
40386-1.mpd	Technic	A LEGO model of a character with a helmet and a yellow and gray outfit.	LEGO, character, helmet, outfit, yellow
40391-1.mpd	Technic	A LEGO model of a stormtrooper helmet.	LEGO, stormtrooper, helmet, brick, model
40396-1.mpd	Technic	A LEGO model of a robot with a pink brain-like structure and a black and white head.	LEGO, robot, brain, black and white, pink
40412-1.mpd	Fantasy / Mythical	A LEGO model of Hagrid and Buckbeak, featuring a wizard and a dragon.	Hagrid, Buckbeak, wizard, dragon, LEGO
40413-1.mpd	Technic	A complex, multi-axle vehicle with various mechanical components and a red light.	multi-axle vehicle, mechanical components, red light, complex vehicle, technic model
40425-1.mpd	Technic	A LEGO model of a Nutcracker with a Christmas tree and festive decorations.	Nutcracker, Christmas tree, festival decorations, LEGO model, fancy
40428-1.mpd	Vehicles	A LEGO model of a character with green hair, red lips, and a purple outfit.	LEGO, character, green hair, red lips, purple outfit
40431-1.mpd	Technic	A model of a robot with a metallic body and a circular head, featuring a black dome and orange accents.	robot, mechan, circular, metallic, orange
40433-1.mpd	Vehicles	A detailed model of a 1989 Batmobile from the Batman series, featuring a sleek, dark design with yellow accents.	1989 Batmobile, Batman, Limited Edition, Sleek Design, Yellow Accents
40436-1.mpd	Vehicles	A model of a train with a cat design on the front, featuring a red and white color scheme.	train, cat, red, white, model
40440-1.mpd	Technic	A model of a German Shepherd dog, made from LEGO pieces.	German Shepherd, LEGO, model, dog, construction
40441-1.mpd	Technic	A model of a cat with a yellow bow tie, standing on a platform with a blue base.	cat model, yellow bow tie, platform, blue base, technic model
40448-1.mpd	Vehicles	A vintage car with a convertible top, featuring two figures inside.	vintage car, convertible top, figures inside, vintage vehicle, convertible vehicle
40456-1.mpd	Technic	A LEGO model of Mickey Mouse with a red background and a yellow bow tie.	LEGO, Mickey Mouse, red background, yellow bow tie, technic model
40457-1.mpd	Technic	A LEGO model of Minnie Mouse with a yellow background and red bow.	LEGO, Minnie Mouse, Yellow Background, Red Bow, Character
40466-1.mpd	Technic	A model featuring a panda and a tree, with a red lantern and a crane in the background.	Chinese New Year, Pandas, Tree, Red Lantern, Crane
40782-1.mpd	Technic	A detailed model of a lush, tropical landscape with various plants, trees, and a waterfall.	tropical landscape, waterfall, plants, trees, model
40783-1.mpd	Technic	A collection of colorful, uniquely shaped plants and flowers arranged in a circular pattern.	colorful plants, circular arrangement, various shapes, botanical display, technic model
4096-1_4WD.mpd	Technic	A yellow and gray LEGO vehicle with large wheels and a flatbed.	LEGO, vehicle, yellow, gray, construction
4096-1_Cement-Mixer.mpd	Technic	A small, yellow and black construction vehicle with a crane.	construction vehicle, crane, yellow, black, toy
4096-1_Combine-Harvester.mpd	Technic	A LEGO model of a construction vehicle with a yellow and gray color scheme.	LEGO, construction vehicle, yellow, gray, model
4096-1_Crane.mpd	Technic	A construction vehicle with a crane and tracks, resembling a bulldozer or excavator.	construction vehicle, crane, bulldozer, excavator, tracks
4096-1_EB-Truck.mpd	Technic	A toy construction vehicle with large tracks and a cupcake on top.	construction vehicle, toy, tracks, cupcake, technic
4096-1_Forklift.mpd	Technic	A yellow and black construction vehicle with large wheels and a flatbed, designed for heavy-duty tasks.	construction vehicle, yellow, black, heavy-duty, flatbed
4096-1_Formula1.mpd	Technic	A yellow and black construction vehicle with large wheels and a flatbed.	construction vehicle, yellow, black, wheels, flatbed
4096-1_Loader.mpd	Technic	A yellow construction vehicle with a shovel attachment.	construction vehicle, shovel attachment, yellow, construction equipment, lego
4096-1_QB-Truck.mpd	Technic	A model of a construction vehicle with large wheels and a yellow and gray body.	construction vehicle, model, large wheels, yellow, gray
4096-1_Roadster-1.mpd	Technic	A model of a vehicle with a yellow and gray color scheme, featuring a flatbed and a large wheel on each side.	model, vehicle, yellow, gray, flatbed
4096-1_Roadster-2.mpd	Technic	A model of a construction vehicle with large wheels and a yellow and black color scheme.	construction vehicle, model, yellow, black, large wheels
4096-1_Tractor-and-Trailer.mpd	Technic	A LEGO model of a construction vehicle with a yellow and gray color scheme.	LEGO, construction vehicle, yellow, gray, model
4096-1_Truck-and-Trailer.mpd	Technic	A detailed model of a construction vehicle with a crane and a yellow body.	construction vehicle, crane, yellow body, model, technic
410-1.mpd	Technic	A LEGO model of a payloader with a red and blue color scheme.	LEGO, payloader, construction, red, blue
41015-1.mpd	Vehicles	A model of a large cruise ship with multiple decks, lifeboats, and a helicopter on top.	cruise ship, lifeboats, helicopter, deck, vessel
41040-1.mpd	City / Town	A LEGO flower cart with a yellow and white striped canopy, selling flowers, and a LEGO figure standing next to it holding a bucket.	LEGO, flower cart, canopy, flowers, LEGO figure
41071-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a bedroom with a bed, dresser, and various accessories.	dollhouse, bedroom, dolls, furniture, accessories
41072-1.mpd	Fantasy / Mythical	A magical underwater scene with a castle-like structure, a dragon, and a mermaid.	underwater, castle, dragon, mermaid, magical
41073-1.mpd	Vehicles	A whimsical, colorful boat with a character inside, featuring various items and decorations.	boat, character, colorful, decorations, items
41075-1.mpd	City / Town	A detailed dollhouse-style build featuring a garden with flowers, a pond, and a small house with a red roof.	dollhouse, garden, pond, house, red roof
41092-1.mpd	Everyday Life / Interior	A miniature dollhouse-style cafe with a vendor selling ice cream and a doll standing nearby.	dollhouse, cafe, vendor, ice cream, doll
41181-1.mpd	Vehicles	A model of a boat with various items and figures on it.	boat, model, items, figures, vessel
41485-1.mpd	Technic	A detailed model of a construction site with various mechanical components and a crane.	construction site, mechanical components, crane, building, mechanical model
41486-1.mpd	Technic	A detailed model of Captain Phasma from Star Wars, featuring intricate mechanical components and a realistic design.	Captain Phasma, Star Wars, mechanic, mechanic model, mechanic design
41487-1.mpd	Technic	A LEGO model of a character with a green and gray color scheme, featuring a helmet and a torso with a green stripe.	LEGO, technic, character, green, gray
41488-1.mpd	Technic	A detailed model of a mechanical device with a dome-shaped top and various components.	mechanical device, dome-shaped top, components, model, technic
41490-1.mpd	Robots / Mecha	A humanoid robot model featuring a superhero theme.	robot, superhero, model, 41490, 41490 Superman & Wonder Woman
41491-1.mpd	Technic	A LEGO model featuring Batman and The Joker, with a blue and purple color scheme.	LEGO, Batman, The Joker, Technic, Model
41492-1.mpd	Technic	A LEGO model featuring two iconic superhero characters, Iron Man and Captain America, standing side by side.	LEGO, Iron Man, Captain America, superhero, model
41493-1.mpd	Robots / Mecha	A LEGO model featuring two characters, one resembling Black Panther and the other resembling Dr. Strange, standing side by side.	LEGO, Black Panther, Dr. Strange, Robots, Mecha
